CNR,Date of registration,Date of decision,Disposal Nature,Count,Downloaded
MLHC010001462022,25-02-2022,07-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010002282020,02-03-2020,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010002762023,31-03-2023,10-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010002862022,31-03-2022,10-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010002882022,31-03-2022,10-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010003452023,28-04-2023,10-07-2023,"Closed
Court : High Court of Meghalaya",9,True
MLHC010004192023,12-05-2023,07-07-2023,"Dismissed
Court : High Court of Meghalaya",9,True
MLHC010004642023,18-05-2023,05-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010004742023,23-05-2023,05-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010004762023,23-05-2023,05-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010005432023,02-06-2023,05-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010005662023,08-06-2023,10-07-2023,"Dismissed
Court : High Court of Meghalaya",9,True
MLHC010005722022,08-06-2022,07-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010006352023,28-06-2023,07-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010006982023,04-07-2023,06-07-2023,"Dismissed
Court : High Court of Meghalaya",9,True
MLHC010007012023,05-07-2023,07-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010007032023,05-07-2023,10-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010007062023,06-07-2023,10-07-2023,"Withdrawn
Court : High Court of Meghalaya",9,True
MLHC010007072023,06-07-2023,07-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010008342022,17-08-2022,10-07-2023,"Dismissed
Court : High Court of Meghalaya",9,True
MLHC010013522019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010013532019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010013542019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010013552019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010013562019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010013572019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010013582019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010013592019,29-11-2019,06-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
MLHC010013702022,15-12-2022,10-07-2023,"Disposed Off
Court : High Court of Meghalaya",9,True
MLHC010013902022,28-12-2022,05-07-2023,"Disposed Off
Court : High Court of Meghalaya",8,True
